Ciudad,Fecha,Num. Nota,RUT,Razón Social,Canal,Fecha Entrega,Forma de Pago,Num. Ord .Compra,Tot. Neto,Item,Código,Descriptor,Cantidad,Cant. Desp.,Precio Unitario,Pendiente,Terminado,Marca,Línea,Sub Línea 1,Sub Línea 2,Clasificación,Cod. Vend. Cartera,Nombre Vendedor Cartera,Cod. Vendedor,Nombre Vendedor N/V
Distribución             ,2025-03-26 00:00:00,104388,70885500-6   ,UNIVERSIDAD DE TALCA                              ,Chilecompra                   ,2025-03-26 00:00:00,Credito                                 ,1469-443-AG25                           ,697013,25,6542496                       ,TONER HP 126A  AMARILLO,1,0,90500,1,NO,HP                                      ,SUMINISTROS COMPUTACIONALES             ,TONER                                   ,TONER                                   ,F MAESTRA                               ,KMO                           ,Katherine Moya                               ,KPU                           ,Kaina Puebla                                 
Distribución             ,2025-03-26 00:00:00,104388,70885500-6   ,UNIVERSIDAD DE TALCA                              ,Chilecompra                   ,2025-03-26 00:00:00,Credito                                 ,1469-443-AG25                           ,697013,26,6542497                       ,TAMBOR FORMACIÓN DE IMÁGENES HP 126A LASERJET,1,0,143000,1,NO,HP                                      ,SUMINISTROS COMPUTACIONALES             ,TONER                                   ,TAMBOR                                  ,F MAESTRA                               ,KMO                           ,Katherine Moya                               ,KPU                           ,Kaina Puebla                                 
Distribución             ,2025-03-26 00:00:00,104388,70885500-6   ,UNIVERSIDAD DE TALCA                              ,Chilecompra                   ,2025-03-26 00:00:00,Credito                                 ,1469-443-AG25                           ,697013,24,6542495                       ,TONER HP 126A NEGRO,3,0,90000,3,NO,HP                                      ,SUMINISTROS COMPUTACIONALES             ,TONER                                   ,TONER                                   ,F MAESTRA                               ,KMO                           ,Katherine Moya                               ,KPU                           ,Kaina Puebla                                 
Distribución             ,2025-03-26 00:00:00,104388,70885500-6   ,UNIVERSIDAD DE TALCA                              ,Chilecompra                   ,2025-03-26 00:00:00,Credito                                 ,1469-443-AG25                           ,697013,5,3813202                       ,MARCADOR TORRE PERMANENTE AZUL PTA FINA 0.8MM,12,0,449,12,NO,TORRE                                   ,LIBRERÍA                                ,MARCADORES LÁPICES Y OTROS              ,PLUMONES Y MARCADORES                   ,STOCK                                   ,KMO                           ,Katherine Moya                               ,KPU                           ,Kaina Puebla                                 
Distribución             ,2025-04-08 00:00:00,104472,60511032-0   ,GOBERNACION PROVINCIAL DE CHAÑARAL                ,Chilecompra                   ,2025-04-08 00:00:00,Credito                                 ,2035-41-AG25                            ,893274,29,7277451                       ,TENEDOR PLASTICO BLANCO VANNI 100 UND,5,0,3990,5,NO,VANNI                                   ,ASEO                                    ,DESECHABLES                             ,MENAJE DESECHABLE                       ,F MAESTRA                               ,SOF                           ,Sofía Benavides                              ,KTA                           ,Katherine Albrecht                           
Distribución             ,2025-04-08 00:00:00,104472,60511032-0   ,GOBERNACION PROVINCIAL DE CHAÑARAL                ,Chilecompra                   ,2025-04-08 00:00:00,Credito                                 ,2035-41-AG25                            ,893274,24,7273451                       ,VIRUTEX VIRUTILLA P/PISO MEDIANA Nº4         ,10,0,1366,10,NO,VIRUTEX                                 ,ASEO                                    ,ACCESORIOS DE LIMPIEZA                  ,ESPONJAS Y VIRUTILLAS                   ,A PEDIDO                                ,SOF                           ,Sofía Benavides                              ,KTA                           ,Katherine Albrecht                           
Distribución             ,2025-04-08 00:00:00,104472,60511032-0   ,GOBERNACION PROVINCIAL DE CHAÑARAL                ,Chilecompra                   ,,Credito                                 ,2035-41-AG25                            ,893274,30,1301444                       ,TOALLAS DESINFECTANTES VIRUTEX POUCH LIMÓN 90 UND,11,0,2982.2727,11,NO,VIRUTEX                                 ,ASEO                                    ,LIMPIEZA SUPERFICIES Y CLORO            ,TOALLAS DESINFECTANTES                  ,STOCK                                   ,SOF                           ,Sofía Benavides                              ,KTA                           ,Katherine Albrecht                           
Distribución             ,2025-04-30 00:00:00,104640,69090200-1   ,I. MUNICIPALIDAD DE PLACILLA                      ,Chilecompra                   ,2025-04-30 00:00:00,Credito                                 ,3889-215-AG25                           ,485179,44,3815270                       ,MARCADOR ARTEL PIZARRA 70 P/REDONDA COLOR SUR,1,0,19000,1,NO,ARTEL                                   ,LIBRERÍA                                ,MARCADORES LÁPICES Y OTROS              ,PLUMONES Y MARCADORES                   ,F MAESTRA                               ,KMO                           ,Katherine Moya                               ,KPU                           ,Kaina Puebla                                 
Distribución             ,2025-04-30 00:00:00,104640,69090200-1   ,I. MUNICIPALIDAD DE PLACILLA                      ,Chilecompra                   ,2025-04-30 00:00:00,Credito                                 ,3889-215-AG25                           ,485179,42,3815214                       ,OPALINA GOFRADA PGC OFICIO SURTIDA 230GR COLO,1,0,20100,1,NO,SIN MARCA                               ,LIBRERÍA                                ,EQUIPOS DE OFICINA E INSUMOS            ,OPALINAS Y MICAS                        ,F MAESTRA                               ,KMO                           ,Katherine Moya                               ,KPU                           ,Kaina Puebla                                 
Distribución             ,2025-04-30 00:00:00,104640,69090200-1   ,I. MUNICIPALIDAD DE PLACILLA                      ,Chilecompra                   ,2025-04-30 00:00:00,Credito                                 ,3889-215-AG25                           ,485179,17,3813295                       ,CARTULINA ARTEL VIOLETA 53X75CM 25 UND,2,1,7062,1,NO,ARTEL                                   ,LIBRERÍA                                ,PAPELERÍA                               ,CARTULINAS                              ,STOCK                                   ,KMO                           ,Katherine Moya                               ,KPU                           ,Kaina Puebla                                 
