Ciudad,OC Fecha,No. OC,DCTO.TIPO,DCTO.PJE,RUT,Razón Social,Fecha Entrega,Bodega,Item,Código,Nombre,Descto.,Cantidad,Cant. Recibida,Transito,Prec.Unit.,Línea de Negocio
P. Montt                 ,2025-03-14 00:00:00,73902,1,0,76075072-7    ,TECNOPAPEL S.A                                                                  ,2025-03-15 00:00:00,B1  ,1,1300180                       ,PAPEL HIGIENICO TECNOPAPEL 500M 6UN,0,24,0,24,9000,ASEO                                    
P. Montt                 ,2025-03-27 00:00:00,73981,1,0,,,2025-03-28 00:00:00,B1  ,1,3813851                       ,PEGAMENTO TORRE BARRA 115GR                  ,0,2,0,2,1443,LIBRERÍA                                
P. Montt                 ,2025-03-28 00:00:00,73983,1,0,,,2025-03-29 00:00:00,B1  ,1,7774658                       ,CORCHETERA ISOFIT CI-1200 S/IND NEGRA 20-100H,0,2,0,2,10280,LIBRERÍA                                
P. Montt                 ,2025-03-28 00:00:00,73983,1,0,,,2025-03-29 00:00:00,B1  ,2,2221497                       ,CORCHETE TORRE 23/8 1000UN,0,10,0,10,610,LIBRERÍA                                
P. Montt                 ,2025-04-01 00:00:00,73993,1,0,,,2025-04-02 00:00:00,B1  ,1,2226835                       ,SOBRE JORDAN SACO 1/1 OFICIO BLANCO 80GR25X36,0,10,0,10,73,LIBRERÍA                                
P. Montt                 ,2025-04-01 00:00:00,73993,1,0,,,2025-04-02 00:00:00,B1  ,2,2221576                       ,CORCHETE TORRE 26/6 1000UN                   ,0,1,0,1,170,LIBRERÍA                                
P. Montt                 ,2025-04-01 00:00:00,73993,1,0,,,2025-04-02 00:00:00,B1  ,3,3813680                       ,PEGAMENTO EN BARRA TORRE 40GR                ,0,1,0,1,583,LIBRERÍA                                
P. Montt                 ,2025-04-02 00:00:00,73996,1,0,,,2025-04-03 00:00:00,B1  ,1,3813967                       ,PLASTICO P/TERMOLAMINAR CARTA 0.5MM 100UN,0,1,0,1,8720,LIBRERÍA                                
P. Montt                 ,2025-04-02 00:00:00,73996,1,0,,,2025-04-03 00:00:00,B1  ,2,7775001                       ,ACCO CLIP ISOFIT PLASTICO COL/SURTIDOS 50UN,0,2,0,2,754,LIBRERÍA                                
P. Montt                 ,2025-04-02 00:00:00,73996,1,0,,,2025-04-03 00:00:00,B1  ,3,3813155                       ,CORRECTOR LAPIZ TORRE 7ML                    ,0,12,0,12,302,LIBRERÍA                                
P. Montt                 ,2025-04-02 00:00:00,73996,1,0,,,2025-04-03 00:00:00,B1  ,4,3814601                       ,DEDAL DE GOMA JM TALLA S,0,6,0,6,61,LIBRERÍA                                
P. Montt                 ,2025-04-02 00:00:00,73996,1,0,,,2025-04-03 00:00:00,B1  ,5,3814602                       ,DEDAL DE GOMA JM TALLA M,0,6,0,6,64,LIBRERÍA                                
P. Montt                 ,2025-04-02 00:00:00,73996,1,0,,,2025-04-03 00:00:00,B1  ,6,3814603                       ,DEDAL DE GOMA JM TALLA L,0,6,0,6,67,LIBRERÍA                                
P. Montt                 ,2025-04-02 00:00:00,73996,1,0,,,2025-04-03 00:00:00,B1  ,7,7776152                       ,CORCHETERA ISOFIT CP-40 PLASTICA NEGRA P/25HJ,0,3,0,3,1571,LIBRERÍA                                
P. Montt                 ,2025-04-02 00:00:00,73996,1,0,,,2025-04-03 00:00:00,B1  ,8,6541101                       ,MOUSE KENSINGTON FOR LIFE NEGRO INALAM K72392,0,1,0,1,8761,ACCESORIOS COMPUTACIONALES              
P. Montt                 ,2025-04-02 00:00:00,73996,1,0,,,2025-04-03 00:00:00,B1  ,9,4701055                       ,CALCULADORA CASIO MX-12B-BK,0,2,0,2,6200,LIBRERÍA                                
P. Montt                 ,2025-04-02 00:00:00,73996,1,0,,,2025-04-03 00:00:00,B1  ,10,8254591                       ,PAD MOUSE KENSINGTON CONFORT GEL BLACK K62386,0,2,0,2,11282,ACCESORIOS COMPUTACIONALES              
P. Montt                 ,2025-04-02 00:00:00,73997,1,0,,,2025-04-03 00:00:00,B1  ,1,1300122                       ,TOALLA ELITE DOBLADA D/H EXT BLANCA 200UN,0,18,0,18,1000,ASEO                                    
P. Montt                 ,2025-04-02 00:00:00,73997,1,0,,,2025-04-03 00:00:00,B1  ,2,1301222                       ,TOALLA DE PAPEL ELITE ECOLOGICA H/S 250M 2UN ,0,3,0,3,6990,ASEO                                    
P. Montt                 ,2025-04-02 00:00:00,73997,1,0,,,2025-04-03 00:00:00,B1  ,3,2610102                       ,PAPEL HIGIENICO ELITE EXTRA 250M 6UN,0,2,0,2,10290,ASEO                                    
P. Montt                 ,2025-04-03 00:00:00,74003,1,0,,,2025-04-04 00:00:00,B1  ,1,3813562                       ,CARP PLASTIFICADA CI C/GUSANO AMARILLA       ,0,25,0,25,245,LIBRERÍA                                
P. Montt                 ,2025-04-03 00:00:00,74003,1,0,,,2025-04-04 00:00:00,B1  ,2,3813574                       ,CARP PLASTIFICADA CI C/GUSANO ROJO,0,25,0,25,245,LIBRERÍA                                
P. Montt                 ,2025-04-03 00:00:00,74003,1,0,,,2025-04-04 00:00:00,B1  ,3,3814173                       ,CARPETA CARTULINA AMARILLA,0,15,0,15,100,LIBRERÍA                                
P. Montt                 ,2025-04-03 00:00:00,74003,1,0,,,2025-04-04 00:00:00,B1  ,4,3814174                       ,CARPETA CARTULINA AZUL,0,15,0,15,100,LIBRERÍA                                
P. Montt                 ,2025-04-03 00:00:00,74003,1,0,,,2025-04-04 00:00:00,B1  ,5,3814179                       ,CARPETA CARTULINA VERDE CLARO,0,15,0,15,100,LIBRERÍA                                
P. Montt                 ,2025-04-03 00:00:00,74003,1,0,,,2025-04-04 00:00:00,B1  ,6,3814175                       ,CARPETA CARTULINA CELESTE,0,5,0,5,100,LIBRERÍA                                
P. Montt                 ,2025-04-03 00:00:00,74003,1,0,,,2025-04-04 00:00:00,B1  ,7,2241001                       ,PAPEL FOTOCOPIA EQUALIT CARTA 500HJ,0,1,0,1,2990,PAPELES OFICINA                         
P. Montt                 ,2025-04-03 00:00:00,74003,1,0,,,2025-04-04 00:00:00,B1  ,8,2241000                       ,PAPEL FOTOCOPIA EQUALIT OFICIO 500HJ,0,1,0,1,3537,PAPELES OFICINA                         
P. Montt                 ,2025-04-03 00:00:00,74003,1,0,,,2025-04-04 00:00:00,B1  ,9,3813185                       ,PLASTICO DIAZOL P/TERMOLAM OFICIO 0.7MM 100UN,0,2,0,2,12650,LIBRERÍA                                
P. Montt                 ,2025-04-03 00:00:00,74003,1,0,,,2025-04-04 00:00:00,B1  ,10,4003280                       ,SOBRE JORDAN SACO REVISTA BLANCO 80GR,0,50,0,50,69,LIBRERÍA                                
P. Montt                 ,2025-04-03 00:00:00,74003,1,0,,,2025-04-04 00:00:00,B1  ,11,3813344                       ,MICA GOFRADA DIAZOL OFICIO NATURAL 100 UND,0,1,0,1,7320,LIBRERÍA                                
P. Montt                 ,2025-04-03 00:00:00,74004,1,0,,,2025-04-04 00:00:00,B1  ,1,3810195                       ,CINTA ENMASCARAR USATAPE AZUL 18MX20MT       ,0,4,0,4,436,LIBRERÍA                                
