Ciudad,Bodega,Código,Nombre,Cantidad,P.Ult.Comp,Costo Lista,Tipo,Línea
Santiago                 ,B03,1002902                        ,ETIQUETA ADETEC INK-JET BLANCA 70X35MM 50HJ,20,3304,4544,DE SALIDA,LIBRERÍA                                
Santiago                 ,B03,1300021                        ,(LUSTRAMUEBLE AEROSOL VIRGINIA LAVANDA 360CC),151,1682,1682,STOCK,ASEO                                    
Santiago                 ,B03,1300060                        ,CERA CREMA BRILLINA D/P AMARILLA 340CC,45,1066,1129,STOCK,ASEO                                    
Santiago                 ,B03,1300182                        ,TRAPERO VIRUTEX MICROFIBRA ABRASIVO-CREATIVA,7,2337,2652,DE SALIDA,ASEO                                    
Santiago                 ,B03,1300273                        ,EMULSIONADO SIMONDS HIPOALERGÉNICO  650 ML,84,2288,2679,DE SALIDA,ASEO                                    
Santiago                 ,B03,1300343                        ,EMULSIONADO BELLEKISS 610ML,152,1159.1,1680,DE SALIDA,ASEO                                    
Santiago                 ,B03,1300413                        ,ABRILLANTADOR VIRGINIA P.FLOTANTES LAVANDA 5L,5,10795,11260,DE SALIDA,ASEO                                    
Santiago                 ,B03,1300617                        ,BOLSA BASURA VIRUTEX ROJA 70X90 10UN,3,669.72,905,DESCONTINU,ASEO                                    
Santiago                 ,B03,1300619                        ,BOLSA BASURA VIRUTEX 80X110 AMARILLAX10,218,1024,1378,DESCONTINU,ASEO                                    
Santiago                 ,B03,1300805                        ,JABON GLICERINA SIMONDS LIQ CEL HIPOALE 750ML,1,1567,1683,DE SALIDA,ASEO                                    
Santiago                 ,B03,1300878                        ,INSECTICIDA KILLER MOSQUITOS Y ZANCUDOS 560CC,143,1962,1962,STOCK,ASEO                                    
Santiago                 ,B03,1300961                        ,PAPEL HIGIENICO TECNOPAPEL D/H 250M 6UN,6,10500,10500,STOCK,ASEO                                    
Santiago                 ,B03,1301032                        ,RESPUESTO LUSTER MOPA SECA 90CMS,26,2368,0,DE SALIDA,ASEO                                    
Santiago                 ,B03,1301177                        ,LIMPIADOR PISOS TREMEX ORGANIC LAVANDA 900ML,7,951,951,DE SALIDA,ASEO                                    
Santiago                 ,B03,1301371                        ,CLORO GEL DOÑA FRESIA LIMON 5LT,13,1851,1851,STOCK,ASEO                                    
Santiago                 ,B03,1301445                        ,PAPEL HIGIENICO CONFORT D/H 30M 4UN,22,967,967,STOCK,ASEO                                    
Santiago                 ,B03,1301547                        ,DESODORANTE AMB GLADE TOQUE CAMPO APARAT,15,2826,2826,DESCONTINU,ASEO                                    
Santiago                 ,B03,1301571                        ,HOJA DE AFEITAR DOBLE FILO 10UN,5,3773.1,0,DE SALIDA,ASEO                                    
Santiago                 ,B03,1800387                        ,ESPIRAL DIAZOL 23MM NEGRO DOM,100,111.8,111.8,DE SALIDA,LIBRERÍA                                
Santiago                 ,B03,1802533                        ,MICA LISA DIAZOL A-4 200MIC NATURAL 100UN,99,7068,70.68,STOCK,LIBRERÍA                                
Santiago                 ,B03,2000019                        ,SEPARADOR RHEIN OFICIO 6POS VINILICO,133,1097,1096.8,DESCONTINU,LIBRERÍA                                
Santiago                 ,B03,2000133                        ,LIBRETA RHEIN INDICE TELEFONICO ESPIRAL,2,1243,1736.8,DESCONTINU,LIBRERÍA                                
Santiago                 ,B03,2006422                        ,SILICONA LIQUIDA TORRE 100ML,12,875,875,STOCK,LIBRERÍA                                
Santiago                 ,B03,2220330                        ,ARCH TORRE TOP OFICIO ANCHO NEGRO 518HR,9,2585,2585,STOCK,LIBRERÍA                                
Santiago                 ,B03,2223169                        ,VARILLA CHENILLE SURTIDO TORRE IDEAS,10,735,735,SOLO SALA,DIDÁCTICOS                              
Santiago                 ,B03,2241541                        ,ADHESIVO INSTANTANEO 2ML,20,175,0,F MAESTRA,LIBRERÍA                                
Santiago                 ,B03,2615784                        ,PAPEL HIGIENICO ELITE HABITACION D/H 20M 16UN,4,2767,2733,STOCK,ASEO                                    
Santiago                 ,B03,3001546                        ,GRAPAS GALVANIZADAS RAPID 53/6 1080UN,3,682,1234.08,DE SALIDA,LIBRERÍA                                
Santiago                 ,B03,3002541                        ,CUCHILLO OLFA SVR-1 RETRACTIL SILVER BLISTER,2,5577,5577,DE SALIDA,LIBRERÍA                                
